เพศ,ช่วงอายุ,สถานภาพ,กิจกรรมที่ใช้สมาร์ทโฟนมากที่สุด 3 อันดับ,ท่านใช้แอปพลิเคชันใดบ้างเป็นประจำ?,ท่านใช้สมาร์ทโฟนนานเท่าใดในหนึ่งวัน,สมาร์ทโฟนสำคัญในชีวิตประจำวันอย่างไร,ยี่ห้อสมาร์ทโฟนที่ใช้งานในปัจจุบัน,ปัจจัยที่พิจารณาเมื่อซื้อสมาร์ทโฟนออนไลน์มากที่สุด,ความพึงพอใจจากยี่ห้อสมาร์ทโฟนที่ใช้ในปัจจุบัน,ปัญหาในการซื้อสมาร์ทโฟนออนไลน์,รายได้ต่อเดือน,อาชีพ
หญิง,18-25,นักเรียน / นักศึกษา,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Samsung,,,,,
หญิง,18-25,นักเรียน / นักศึกษา,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Samsung,,,,,
หญิง,18-25,นักเรียน / นักศึกษา,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Samsung,,,,,
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,Facebook Messenger,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,Facebook Messenger,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,Facebook Messenger,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,Facebook Messenger,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,Facebook Messenger,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
ชาย,26-32,บุคคลทั่วไป,คุยธุรกิจ / ทำงาน,Facebook Messenger,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,XIAOMI,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,XIAOMI,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,XIAOMI,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,XIAOMI,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,XIAOMI,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,XIAOMI,,,,,
Lgbtq+,18-25,นักเรียน / นักศึกษา,ถ่ายรูป ถ่ายวีดีโอ,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
Lgbtq+,18-25,นักเรียน / นักศึกษา,ถ่ายรูป ถ่ายวีดีโอ,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
Lgbtq+,18-25,นักเรียน / นักศึกษา,ถ่ายรูป ถ่ายวีดีโอ,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
Lgbtq+,18-25,นักเรียน / นักศึกษา,ถ่ายรูป ถ่ายวีดีโอ,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
Lgbtq+,18-25,นักเรียน / นักศึกษา,ถ่ายรูป ถ่ายวีดีโอ,Instagram,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,,,,,
Lgbtq+,26-32,บุคคลทั่วไป,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Samsung,,,,,
Lgbtq+,26-32,บุคคลทั่วไป,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Samsung,,,,,
Lgbtq+,26-32,บุคคลทั่วไป,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Samsung,,,,,
ชาย,18-25,นักเรียน / นักศึกษา,ช็อปปิ้ง,Facebook,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,ราคา,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,,
ชาย,18-25,นักเรียน / นักศึกษา,ช็อปปิ้ง,Facebook,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,ราคา,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,,
ชาย,18-25,นักเรียน / นักศึกษา,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,รีวิวสินค้า,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,,
ชาย,18-25,นักเรียน / นักศึกษา,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,ฟีเจอร์สินค้า,3,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,,
ชาย,18-25,นักเรียน / นักศึกษา,ดูสื่อบันเทิง,TikTok,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,รีวิวสินค้า,3,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,,
หญิง,18-25,นักเรียน / นักศึกษา,ดูหนัง,X,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,ฟีเจอร์สินค้า,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,,
ชาย,18-25,นักเรียน / นักศึกษา,คุยธุรกิจ / ทำงาน,Facebook Messenger,1 - 3 ชั่วโมง,สำคัญมาก,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,,
หญิง,18-25,นักเรียน / นักศึกษา,ฟังเพลง,Spotify,มากกว่า 5 ชั่วโมง,สำคัญมากที่สุด,Apple,ราคา,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,,
ชาย,18-25 ปี,นักเรียน / นักศึกษา,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ",TikTok,0 - 1 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,นักเรียน / นักศึกษา,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ",Instagram,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",Instagram,1 - 3 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"15,001 - 20,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",Instagram,1 - 3 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"15,001 - 20,000 บาท",นักเรียน / นักศึกษา
Lgbtq+,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย",Instagram,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,XIAOMI,รีวิวสินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน",TikTok,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,ราคา,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",Facebook Messenger,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,รีวิวสินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, Appication บน cloud",Instagram,3 - 5 ชั่วโมง,จำเป็น,Samsung,ฟีเจอร์สินค้า,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"Appication บน cloud, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",Facebook Messenger,1 - 3 ชั่วโมง,จำเป็น,Apple,รีวิวสินค้า,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,YouTube,1 - 3 ชั่วโมง,จำเป็น,Apple,ราคา,3,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"20,001 - 30,000 บาท",พนักงานบริษัทเอกชน
Lgbtq+,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย",Instagram,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"20,001 - 30,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",Instagram,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",Facebook,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,รีวิวสินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน",Instagram,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"15,001 - 20,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, โซเชียลมีเดีย",Facebook Messenger,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย",TikTok,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",Instagram,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"15,001 - 20,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ",Facebook,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,realme,ฟีเจอร์สินค้า,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน",Instagram,มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,3,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",YouTube,3 - 5 ชั่วโมง,จำเป็น,Samsung,ฟีเจอร์สินค้า,1,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน",TikTok,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Vivo,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",YouTube,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,รีวิวสินค้า,5,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",Facebook,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Redmi,ราคา,5,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,เล่นเกม,Instagram,มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,5,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"มากกว่า 50,001 บาทขึ้นไป",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",YouTube,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Vivo,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",YouTube,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Oppo,ราคา,3,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, ติดต่อสื่อสาร / ประชุมงาน",Facebook,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Samsung,รีวิวสินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ, Appication บน cloud",Telegram,มากกว่า 5 ชั่วโมง,จำเป็น,Oppo,ราคา,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",YouTube,3 - 5 ชั่วโมง,จำเป็น,Samsung,ฟีเจอร์สินค้า,4,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"15,001 - 20,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน",Facebook,3 - 5 ชั่วโมง,จำเป็น,Oppo,ฟีเจอร์สินค้า,3,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ติดต่อสื่อสาร / ประชุมงาน",YouTube,มากกว่า 5 ชั่วโมง,จำเป็น,Vivo,ราคา,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, Appication บน cloud",YouTube,มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ติดต่อสื่อสาร / ประชุมงาน, โซเชียลมีเดีย",Facebook Messenger,3 - 5 ชั่วโมง,จำเป็น,Apple,รีวิวสินค้า,4,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, โซเชียลมีเดีย",YouTube,มากกว่า 5 ชั่วโมง,จำเป็น,Apple,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,26-32 ปี,สมรส,เล่นเกม,YouTube,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ราคา,5,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"30,001 - 40,000 บาท",เจ้าของธุรกิจ/ธุรกิจส่วนตัว
หญิง,18-25 ปี,โสด,"เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย",Instagram,มากกว่า 5 ชั่วโมง,จำเป็น,Samsung,รีวิวสินค้า,5,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม",Instagram,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Vivo,ราคา,5,ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",Instagram,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,XIAOMI,รีวิวสินค้า,4,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
ชาย,18-25 ปี,โสด,ดูหนัง / ฟังเพลง,YouTube,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,XIAOMI,ราคา,3,ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, ถ่ายรูป ถ่ายวีดีโอ",YouTube,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,XIAOMI,รีวิวสินค้า,3,ไม่สามารถสัมผัสหรือลองสินค้าได้จริง,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, เล่นเกม, โซเชียลมีเดีย",YouTube,มากกว่า 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,ฟีเจอร์สินค้า,4,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
หญิง,18-25 ปี,โสด,"ดูหนัง / ฟังเพลง, ถ่ายรูป ถ่ายวีดีโอ, โซเชียลมีเดีย",TikTok,3 - 5 ชั่วโมง,จำเป็นมากที่สุด,Apple,รีวิวสินค้า,3,ความไม่แน่นอนเกี่ยวกับการรับประกันและการบริการหลังการขาย,"น้อยกว่า 15,000 บาท",นักเรียน / นักศึกษา
